Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,FabricType,Decoration,PatternType,Recommendation,RatingCategory,PriceLevel,IsRecommended,Price_num
sexy,average,4.7,free,autumn,v-neck,sleeveless,natural,polyester,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
sexy,average,4.7,m,autumn,o-neck,sleeveless,empire,cotton,broadcloth,lace,print,1,Excellent,2,Recommended,3
sexy,average,4.7,m,spring,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,low,4.7,l,summer,o-neck,sleeveless,natural,cotton,jersey,lace,print,1,Excellent,1,Recommended,1
cute,low,4.3,free,autumn,o-neck,sleeveless,natural,polyester,chiffon,sashes,striped,1,Very Good,1,Recommended,1
cute,low,4.7,m,spring,ruffled,short,empire,chiffon,chiffon,bow,dot,2,Excellent,1,Not Recommended,1
casual,average,4.6,l,autumn,o-neck,sleeveless,empire,polyester,chiffon,ruffles,solid,1,Excellent,2,Recommended,3
casual,low,4.7,m,spring,o-neck,sleeveless,natural,silk,chiffon,applique,solid,2,Excellent,1,Not Recommended,1
casual,average,4.4,l,autumn,o-neck,sleeveless,natural,linen,chiffon,ruffles,animal,1,Very Good,2,Recommended,3
brief,average,4.3,l,spring,o-neck,sleeveless,empire,cotton,chiffon,bow,solid,2,Very Good,2,Not Recommended,3
party,high,4.7,m,spring,o-neck,threequarter,natural,cotton,chiffon,lace,print,1,Excellent,4,Recommended,4
casual,low,4.6,free,winter,boat-neck,full,natural,cotton,chiffon,lace,patchwork,2,Excellent,1,Not Recommended,1
vintage,average,4.6,free,winter,o-neck,full,natural,cotton,chiffon,lace,print,2,Excellent,2,Not Recommended,3
brief,average,4.7,m,autumn,o-neck,short,natural,cotton,chiffon,lace,print,1,Excellent,2,Recommended,3
party,average,4.6,m,winter,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,average,4.5,m,spring,v-neck,short,empire,cotton,chiffon,button,solid,2,Very Good,2,Not Recommended,3
brief,average,5.0,free,spring,v-neck,sleeveless,natural,cotton,broadcloth,lace,solid,2,Excellent,2,Not Recommended,3
brief,low,4.4,l,autumn,o-neck,halfsleeves,natural,rayon,chiffon,sashes,solid,1,Very Good,1,Recommended,1
casual,average,4.8,m,winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,1,Excellent,2,Recommended,3
casual,low,4.8,free,spring,o-neck,sleeveless,natural,cotton,chiffon,lace,print,1,Excellent,1,Recommended,1
vintage,average,4.8,m,winter,o-neck,sleeveless,natural,cotton,chiffon,lace,patchwork,2,Excellent,2,Not Recommended,3
sexy,average,4.7,m,winter,o-neck,short,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,average,4.8,l,spring,v-neck,threequarter,empire,polyester,chiffon,lace,geometric,1,Excellent,2,Recommended,3
casual,average,4.7,m,summer,o-neck,halfsleeves,natural,cotton,chiffon,ruffles,dot,2,Excellent,2,Not Recommended,3
casual,low,4.7,m,summer,o-neck,sleeveless,empire,milksilk,chiffon,lace,solid,1,Excellent,1,Recommended,1
casual,medium,4.7,l,winter,boat-neck,full,empire,cotton,chiffon,lace,solid,2,Excellent,3,Not Recommended,2
sexy,low,5.0,free,summer,v-neck,sleeveless,empire,cotton,chiffon,lace,animal,2,Excellent,1,Not Recommended,1
casual,low,4.3,free,summer,o-neck,sleeveless,natural,milksilk,chiffon,lace,animal,1,Very Good,1,Recommended,1
casual,average,4.7,l,spring,o-neck,halfsleeves,natural,polyester,chiffon,hollowout,solid,2,Excellent,2,Not Recommended,3
casual,average,4.6,free,autumn,o-neck,sleeveless,natural,polyester,chiffon,sashes,solid,2,Excellent,2,Not Recommended,3
sexy,average,4.5,m,spring,o-neck,threequarter,natural,polyester,chiffon,lace,geometric,1,Very Good,2,Recommended,3
novelty,average,4.7,s,winter,turndowncollor,full,natural,cotton,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
casual,average,4.9,s,winter,turndowncollor,full,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
sexy,low,4.6,l,autumn,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
bohemian,low,4.5,m,summer,v-neck,sleeveless,natural,polyester,chiffon,lace,print,2,Very Good,1,Not Recommended,1
work,average,4.7,m,autumn,slash-neck,sleeveless,natural,polyester,chiffon,bow,patchwork,1,Excellent,2,Recommended,3
cute,high,4.7,m,spring,v-neck,full,natural,rayon,chiffon,lace,solid,2,Excellent,4,Not Recommended,4
casual,average,4.7,free,spring,o-neck,short,natural,cotton,chiffon,hollowout,plaid,1,Excellent,2,Recommended,3
casual,average,5.0,m,summer,o-neck,short,empire,polyester,chiffon,lace,animal,1,Excellent,2,Recommended,3
casual,average,4.7,m,spring,o-neck,sleeveless,natural,cotton,chiffon,sashes,solid,1,Excellent,2,Recommended,3
sexy,low,4.0,s,autumn,o-neck,sleeveless,empire,cotton,chiffon,lace,solid,2,Good,1,Not Recommended,1
casual,average,5.0,m,autumn,v-neck,short,natural,cotton,broadcloth,beading,solid,1,Excellent,2,Recommended,3
casual,low,4.7,free,summer,v-neck,halfsleeves,natural,silk,broadcloth,applique,solid,1,Excellent,1,Recommended,1
casual,medium,4.5,s,winter,o-neck,full,natural,polyester,chiffon,lace,patchwork,2,Very Good,3,Not Recommended,2
work,average,4.8,l,summer,v-neck,short,natural,polyester,chiffon,hollowout,solid,1,Excellent,2,Recommended,3
casual,medium,4.7,m,autumn,v-neck,short,empire,polyester,chiffon,lace,solid,1,Excellent,3,Recommended,2
bohemian,average,5.0,free,summer,v-neck,sleeveless,natural,cotton,batik,lace,print,2,Excellent,2,Not Recommended,3
sexy,low,4.7,m,spring,v-neck,short,natural,polyester,satin,ruffles,solid,2,Excellent,1,Not Recommended,1
sexy,average,4.2,m,winter,v-neck,sleeveless,natural,cotton,flannel,lace,solid,1,Very Good,2,Recommended,3
casual,low,4.8,free,spring,o-neck,full,natural,cotton,worsted,lace,solid,1,Excellent,1,Recommended,1
casual,low,4.4,s,autumn,o-neck,sleeveless,natural,polyester,chiffon,lace,solid,1,Very Good,1,Recommended,1
casual,low,4.7,l,spring,o-neck,short,natural,chiffon,chiffon,bow,dot,1,Excellent,1,Recommended,1
casual,average,5.0,xl,winter,boat-neck,full,natural,cotton,chiffon,lace,geometric,2,Excellent,2,Not Recommended,3
casual,low,4.7,free,spring,v-neck,sleeveless,natural,cotton,chiffon,lace,print,1,Excellent,1,Recommended,1
casual,average,4.7,free,spring,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
bohemian,very-high,4.7,free,winter,v-neck,sleeveless,natural,polyester,chiffon,lace,solid,2,Excellent,5,Not Recommended,5
casual,low,5.0,m,summer,v-neck,sleeveless,empire,polyester,chiffon,ruffles,animal,1,Excellent,1,Recommended,1
party,average,4.7,m,spring,v-neck,sleeveless,natural,polyester,chiffon,hollowout,solid,1,Excellent,2,Recommended,3
sexy,low,5.0,free,spring,o-neck,full,natural,cotton,worsted,lace,striped,1,Excellent,1,Recommended,1
vintage,low,4.6,m,summer,o-neck,short,natural,cotton,chiffon,lace,print,1,Excellent,1,Recommended,1
casual,average,4.7,free,winter,o-neck,halfsleeves,empire,polyester,chiffon,hollowout,solid,1,Excellent,2,Recommended,3
casual,low,4.9,l,summer,boat-neck,short,natural,cotton,chiffon,lace,patchwork,2,Excellent,1,Not Recommended,1
casual,low,4.7,s,autumn,o-neck,full,natural,cotton,chiffon,beading,solid,2,Excellent,1,Not Recommended,1
sexy,average,4.0,s,autumn,v-neck,sleeveless,natural,rayon,chiffon,lace,patchwork,2,Good,2,Not Recommended,3
sexy,low,5.0,m,autumn,o-neck,full,natural,cotton,chiffon,lace,print,2,Excellent,1,Not Recommended,1
brief,average,4.6,m,winter,peterpan-collor,threequarter,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,average,4.7,l,spring,boat-neck,sleeveless,natural,cotton,chiffon,applique,patchwork,2,Excellent,2,Not Recommended,3
casual,average,4.8,l,winter,o-neck,short,natural,cotton,chiffon,pockets,solid,2,Excellent,2,Not Recommended,3
ol,medium,4.7,m,winter,mandarin-collor,halfsleeves,natural,cotton,chiffon,sashes,solid,1,Excellent,3,Recommended,2
sexy,low,4.8,m,spring,o-neck,halfsleeves,natural,silk,chiffon,lace,solid,1,Excellent,1,Recommended,1
casual,medium,4.7,s,spring,v-neck,full,natural,cotton,chiffon,lace,animal,2,Excellent,3,Not Recommended,2
casual,medium,4.7,m,spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,2,Excellent,3,Not Recommended,2
casual,average,4.7,m,spring,o-neck,sleeveless,natural,silk,chiffon,lace,print,1,Excellent,2,Recommended,3
casual,average,4.7,free,winter,v-neck,full,natural,cotton,chiffon,ruffles,print,1,Excellent,2,Recommended,3
vintage,low,4.8,s,summer,o-neck,short,natural,cotton,chiffon,ruffles,print,1,Excellent,1,Recommended,1
sexy,low,4.8,l,summer,v-neck,full,natural,cotton,jersey,applique,print,2,Excellent,1,Not Recommended,1
fashion,average,4.0,free,summer,open,full,natural,cotton,chiffon,sequined,solid,1,Good,2,Recommended,3
casual,average,4.7,l,summer,v-neck,short,natural,cotton,chiffon,lace,print,2,Excellent,2,Not Recommended,3
casual,low,4.7,free,winter,o-neck,halfsleeves,natural,polyester,worsted,lace,patchwork,2,Excellent,1,Not Recommended,1
bohemian,low,4.8,free,summer,o-neck,short,natural,cotton,chiffon,lace,animal,2,Excellent,1,Not Recommended,1
work,medium,4.6,l,winter,sqare-collor,short,empire,cotton,chiffon,tiered,solid,1,Excellent,3,Recommended,2
vintage,average,4.7,l,summer,o-neck,short,natural,cotton,chiffon,button,solid,1,Excellent,2,Recommended,3
cute,low,4.7,m,spring,o-neck,short,empire,polyester,chiffon,ruffles,dot,2,Excellent,1,Not Recommended,1
casual,low,4.6,free,autumn,o-neck,full,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
casual,medium,4.7,free,spring,o-neck,sleeveless,natural,cotton,broadcloth,sequined,solid,2,Excellent,3,Not Recommended,2
casual,average,4.7,l,autumn,o-neck,halfsleeves,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,average,4.7,l,autumn,v-neck,sleeveless,empire,cotton,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
casual,low,4.7,free,winter,o-neck,sleeveless,natural,cotton,jersey,lace,solid,2,Excellent,1,Not Recommended,1
casual,average,4.7,m,autumn,o-neck,short,empire,polyester,chiffon,applique,print,1,Excellent,2,Recommended,3
cute,average,4.8,l,autumn,slash-neck,sleeveless,natural,cotton,chiffon,hollowout,solid,1,Excellent,2,Recommended,3
party,average,5.0,m,spring,o-neck,halfsleeves,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
cute,average,4.3,l,winter,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Very Good,2,Recommended,3
casual,average,4.5,l,spring,o-neck,short,natural,cotton,chiffon,lace,patchwork,1,Very Good,2,Recommended,3
casual,low,4.7,l,autumn,o-neck,full,natural,cotton,chiffon,lace,print,1,Excellent,1,Recommended,1
casual,low,4.5,free,autumn,v-neck,short,natural,silk,worsted,lace,solid,1,Very Good,1,Recommended,1
sexy,average,3.6,l,winter,v-neck,full,natural,polyester,woolen,beading,solid,2,Good,2,Not Recommended,3
work,average,4.8,l,winter,v-neck,short,natural,mix,broadcloth,lace,solid,1,Excellent,2,Recommended,3
vintage,average,4.7,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,low,4.6,free,spring,o-neck,full,natural,cotton,chiffon,lace,leopard,2,Excellent,1,Not Recommended,1
sexy,low,4.7,free,winter,v-neck,sleeveless,empire,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
work,average,4.6,l,spring,o-neck,short,empire,cotton,jersey,lace,patchwork,1,Excellent,2,Recommended,3
casual,average,4.4,m,summer,o-neck,short,empire,cotton,chiffon,lace,patchwork,1,Very Good,2,Recommended,3
cute,low,4.9,m,autumn,o-neck,short,natural,chiffon,chiffon,bow,dot,1,Excellent,1,Recommended,1
sexy,low,4.6,free,summer,v-neck,sleeveless,natural,cotton,broadcloth,beading,solid,1,Excellent,1,Recommended,1
party,average,4.4,free,autumn,v-neck,threequarter,natural,cotton,chiffon,lace,solid,1,Very Good,2,Recommended,3
casual,average,4.7,free,spring,o-neck,short,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,low,4.7,m,summer,v-neck,full,natural,acrylic,chiffon,lace,solid,1,Excellent,1,Recommended,1
sexy,average,4.6,m,winter,o-neck,full,natural,polyester,chiffon,lace,patchwork,2,Excellent,2,Not Recommended,3
work,average,4.6,m,spring,v-neck,full,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
cute,average,4.7,l,winter,o-neck,sleeveless,natural,chiffon,chiffon,lace,solid,1,Excellent,2,Recommended,3
bohemian,average,4.7,l,autumn,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
cute,high,4.7,m,winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,1,Excellent,4,Recommended,4
casual,average,4.7,xl,winter,o-neck,short,empire,polyester,chiffon,button,solid,1,Excellent,2,Recommended,3
novelty,average,4.9,l,autumn,o-neck,short,natural,polyester,chiffon,lace,print,2,Excellent,2,Not Recommended,3
casual,low,4.7,m,autumn,o-neck,full,natural,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
cute,average,4.3,free,summer,boat-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Very Good,2,Not Recommended,3
sexy,low,4.7,free,autumn,slash-neck,short,empire,cotton,chiffon,hollowout,solid,1,Excellent,1,Recommended,1
cute,low,4.7,xl,summer,o-neck,short,empire,chiffon,chiffon,bow,print,1,Excellent,1,Recommended,1
sexy,low,4.5,l,spring,o-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Very Good,1,Recommended,1
casual,average,4.7,m,autumn,o-neck,sleeveless,natural,cotton,chiffon,lace,animal,2,Excellent,2,Not Recommended,3
casual,average,4.7,l,spring,boat-neck,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
cute,low,4.7,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,print,2,Excellent,1,Not Recommended,1
casual,low,4.4,free,summer,turndowncollor,sleeveless,natural,cotton,chiffon,lace,solid,1,Very Good,1,Recommended,1
casual,average,4.8,l,winter,v-neck,short,empire,polyester,chiffon,ruffles,solid,1,Excellent,2,Recommended,3
vintage,average,4.3,free,winter,o-neck,short,natural,chiffon,chiffon,lace,print,1,Very Good,2,Recommended,3
cute,low,4.5,l,summer,o-neck,sleeveless,natural,cotton,chiffon,sashes,solid,2,Very Good,1,Not Recommended,1
casual,average,4.4,m,summer,turndowncollor,sleeveless,natural,chiffon,chiffon,lace,solid,1,Very Good,2,Recommended,3
vintage,medium,4.7,s,winter,turndowncollor,halfsleeves,natural,cotton,broadcloth,lace,plaid,1,Excellent,3,Recommended,2
sexy,low,4.7,free,summer,turndowncollor,sleeveless,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
vintage,high,4.7,l,summer,o-neck,short,natural,cotton,chiffon,lace,print,1,Excellent,4,Recommended,4
casual,low,4.7,free,spring,v-neck,threequarter,natural,silk,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
sexy,average,4.7,s,autumn,slash-neck,short,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,low,4.7,free,spring,o-neck,short,natural,cotton,chiffon,hollowout,solid,1,Excellent,1,Recommended,1
cute,medium,5.0,free,winter,o-neck,sleeveless,natural,silk,chiffon,lace,solid,2,Excellent,3,Not Recommended,2
casual,low,4.7,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,print,1,Excellent,1,Recommended,1
sexy,low,4.8,free,spring,v-neck,sleeveless,natural,cotton,chiffon,sequined,solid,2,Excellent,1,Not Recommended,1
casual,average,4.5,l,winter,o-neck,short,natural,cotton,chiffon,bow,patchwork,1,Very Good,2,Recommended,3
vintage,average,4.7,s,spring,o-neck,full,natural,mix,chiffon,embroidary,print,1,Excellent,2,Recommended,3
casual,average,3.7,free,autumn,boat-neck,full,natural,cotton,chiffon,lace,solid,2,Good,2,Not Recommended,3
vintage,average,4.8,l,winter,o-neck,sleeveless,natural,cotton,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
cute,average,4.7,xl,spring,boat-neck,full,natural,cotton,worsted,applique,dot,2,Excellent,2,Not Recommended,3
casual,average,4.7,l,winter,open,short,natural,mix,poplin,applique,solid,2,Excellent,2,Not Recommended,3
sexy,medium,5.0,m,winter,o-neck,sleeveless,empire,polyester,chiffon,bow,solid,1,Excellent,3,Recommended,2
brief,average,4.9,free,summer,slash-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,high,4.9,s,spring,o-neck,threequarter,natural,cotton,chiffon,lace,dot,2,Excellent,4,Not Recommended,4
brief,average,4.6,free,winter,o-neck,full,natural,mix,chiffon,sashes,solid,1,Excellent,2,Recommended,3
casual,low,4.5,free,winter,o-neck,full,natural,mix,worsted,applique,solid,1,Very Good,1,Recommended,1
casual,low,4.8,xl,summer,o-neck,short,empire,mix,chiffon,sashes,geometric,1,Excellent,1,Recommended,1
sexy,medium,4.6,l,summer,o-neck,short,natural,spandex,jersey,lace,solid,1,Excellent,3,Recommended,2
casual,average,4.5,m,winter,v-neck,sleeveless,natural,cotton,chiffon,button,striped,1,Very Good,2,Recommended,3
work,average,4.7,s,autumn,o-neck,sleeveless,natural,linen,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
casual,low,4.7,l,winter,o-neck,sleeveless,empire,polyester,chiffon,lace,leopard,1,Excellent,1,Recommended,1
cute,low,5.0,l,winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,1,Excellent,1,Recommended,1
brief,average,4.3,m,spring,o-neck,full,natural,mix,worsted,sequined,patchwork,2,Very Good,2,Not Recommended,3
sexy,low,4.4,free,autumn,o-neck,full,empire,cotton,chiffon,lace,leopard,1,Very Good,1,Recommended,1
cute,low,4.7,free,summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,1,Excellent,1,Recommended,1
casual,average,4.5,free,summer,o-neck,short,natural,cotton,chiffon,lace,solid,2,Very Good,2,Not Recommended,3
sexy,low,4.7,m,winter,slash-neck,sleeveless,natural,nylon,chiffon,sashes,solid,2,Excellent,1,Not Recommended,1
casual,low,4.7,free,spring,o-neck,sleeveless,empire,cotton,chiffon,lace,floral,1,Excellent,1,Recommended,1
casual,medium,4.8,m,winter,peterpan-collor,short,natural,polyester,chiffon,lace,patchwork,1,Excellent,3,Recommended,2
sexy,low,4.3,free,winter,v-neck,sleeveless,natural,silk,worsted,lace,solid,2,Very Good,1,Not Recommended,1
bohemian,average,4.7,l,winter,turndowncollor,full,natural,mix,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,low,4.7,free,summer,o-neck,full,natural,cotton,chiffon,lace,patchwork,1,Excellent,1,Recommended,1
cute,medium,4.8,free,spring,slash-neck,sleeveless,natural,polyester,chiffon,sashes,solid,2,Excellent,3,Not Recommended,2
sexy,average,4.7,s,autumn,v-neck,sleeveless,empire,cotton,chiffon,beading,solid,1,Excellent,2,Recommended,3
casual,low,4.6,s,spring,o-neck,full,natural,cotton,chiffon,lace,solid,2,Excellent,1,Not Recommended,1
vintage,medium,4.7,free,spring,turndowncollor,sleeveless,natural,mix,chiffon,lace,solid,2,Excellent,3,Not Recommended,2
work,low,4.7,free,summer,o-neck,full,empire,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
cute,average,4.8,m,summer,o-neck,short,natural,cotton,chiffon,rivet,solid,1,Excellent,2,Recommended,3
cute,average,4.7,m,summer,o-neck,short,natural,cotton,chiffon,lace,print,1,Excellent,2,Recommended,3
casual,average,4.7,m,winter,o-neck,full,natural,cotton,chiffon,lace,animal,1,Excellent,2,Recommended,3
casual,low,4.6,free,winter,o-neck,full,natural,polyester,chiffon,applique,solid,2,Excellent,1,Not Recommended,1
party,average,5.0,free,summer,v-neck,sleeveless,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,average,4.7,free,summer,v-neck,sleeveless,natural,cotton,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
sexy,average,5.0,l,winter,o-neck,threequarter,natural,polyester,chiffon,lace,geometric,1,Excellent,2,Recommended,3
sexy,average,4.8,free,winter,o-neck,sleeveless,natural,polyester,chiffon,embroidary,solid,1,Excellent,2,Recommended,3
casual,average,4.7,s,summer,v-neck,short,natural,cotton,chiffon,lace,dot,1,Excellent,2,Recommended,3
casual,average,4.1,m,autumn,v-neck,full,natural,cotton,chiffon,sashes,solid,2,Very Good,2,Not Recommended,3
casual,average,5.0,xl,autumn,o-neck,short,natural,chiffon,chiffon,lace,solid,1,Excellent,2,Recommended,3
sexy,average,5.0,m,summer,v-neck,sleeveless,empire,cotton,chiffon,sequined,solid,2,Excellent,2,Not Recommended,3
work,average,4.6,l,summer,slash-neck,short,natural,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,average,4.5,m,summer,peterpan-collor,sleeveless,natural,cotton,chiffon,lace,solid,1,Very Good,2,Recommended,3
vintage,average,4.5,l,autumn,o-neck,sleeveless,empire,cotton,worsted,lace,solid,1,Very Good,2,Recommended,3
casual,average,4.7,m,summer,o-neck,threequarter,natural,nylon,broadcloth,lace,solid,2,Excellent,2,Not Recommended,3
cute,average,4.7,l,summer,o-neck,sleeveless,natural,cotton,worsted,lace,print,1,Excellent,2,Recommended,3
bohemian,low,4.7,free,winter,o-neck,short,natural,nylon,chiffon,sashes,print,1,Excellent,1,Recommended,1
casual,low,5.0,free,spring,slash-neck,sleeveless,empire,spandex,chiffon,lace,striped,2,Excellent,1,Not Recommended,1
casual,average,5.0,m,winter,o-neck,sleeveless,natural,cotton,chiffon,sashes,solid,2,Excellent,2,Not Recommended,3
casual,average,4.3,free,summer,o-neck,sleeveless,natural,cotton,worsted,lace,striped,1,Very Good,2,Recommended,3
work,low,4.5,m,winter,v-neck,threequarter,natural,cotton,chiffon,lace,patchwork,1,Very Good,1,Recommended,1
casual,average,4.3,s,spring,boat-neck,full,natural,cotton,chiffon,lace,patchwork,2,Very Good,2,Not Recommended,3
casual,average,4.4,l,autumn,o-neck,halfsleeves,natural,cotton,dobby,lace,animal,1,Very Good,2,Recommended,3
sexy,low,4.3,m,autumn,open,short,natural,lace,chiffon,lace,print,1,Very Good,1,Recommended,1
casual,low,4.6,free,summer,o-neck,full,natural,cotton,worsted,lace,solid,2,Excellent,1,Not Recommended,1
casual,low,4.6,l,winter,o-neck,full,natural,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
casual,average,4.6,m,spring,o-neck,sleeveless,natural,cotton,chiffon,sashes,solid,2,Excellent,2,Not Recommended,3
casual,low,4.7,free,autumn,peterpan-collor,threequarter,empire,cotton,chiffon,lace,solid,1,Excellent,1,Recommended,1
casual,average,4.7,s,spring,o-neck,halfsleeves,empire,cotton,chiffon,lace,solid,2,Excellent,2,Not Recommended,3
casual,average,4.7,s,summer,o-neck,sleeveless,empire,cotton,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,low,4.8,free,summer,o-neck,sleeveless,natural,cotton,chiffon,lace,print,2,Excellent,1,Not Recommended,1
casual,average,5.0,s,winter,o-neck,sleeveless,empire,polyester,chiffon,lace,plaid,1,Excellent,2,Recommended,3
sexy,very-high,4.7,free,winter,v-neck,sleeveless,natural,polyester,knitting,lace,solid,1,Excellent,5,Recommended,5
casual,low,4.4,free,summer,o-neck,sleeveless,natural,polyester,chiffon,sashes,print,1,Very Good,1,Recommended,1
casual,average,4.8,m,autumn,v-neck,short,natural,cotton,chiffon,embroidary,print,2,Excellent,2,Not Recommended,3
casual,average,5.0,free,summer,v-neck,sleeveless,natural,modal,chiffon,lace,patchwork,1,Excellent,2,Recommended,3
sexy,low,4.8,m,autumn,v-neck,full,natural,cotton,chiffon,lace,print,2,Excellent,1,Not Recommended,1
casual,average,4.6,free,winter,v-neck,full,natural,cotton,flannel,lace,striped,1,Excellent,2,Recommended,3
casual,average,4.6,m,winter,v-neck,full,natural,chiffon,chiffon,lace,solid,1,Excellent,2,Recommended,3
casual,low,5.0,s,spring,o-neck,sleeveless,natural,chiffon,chiffon,lace,print,1,Excellent,1,Recommended,1
cute,average,4.7,m,winter,o-neck,short,natural,polyester,chiffon,sashes,solid,1,Excellent,2,Recommended,3
